Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Triston Grant	LW	VAN	70	20	12	32	-3	193	8	4	1	0	20	0	1	0	5	2	0	0	0	0	0.0	0	0	0.0	0.46	2.76
Cam Cunning	LW	VAN	69	17	15	32	-8	82	6	6	1	0	17	0	3	2	3	2	0	0	0	0	0.0	0	0	0.0	0.46	1.19
Kyle Chipchura	C	P.A	28	14	18	32	8	32	5	6	1	0	14	0	3	0	1	2	0	0	0	0	0.0	0	0	0.0	1.14	1.14
Tommy Maxwell	RW	M.H	66	10	22	32	12	147	3	8	0	0	10	0	3	0	1	0	0	0	0	0	0.0	0	0	0.0	0.48	2.23
Jordan McGillivray	LW	REG	62	18	13	31	-15	159	6	3	1	0	18	0	2	0	2	1	0	0	0	0	0.0	0	0	0.0	0.5	2.56
Ryan Gibbons	RW	SEA	67	15	16	31	17	112	2	1	1	0	15	0	2	0	3	5	0	0	0	0	0.0	0	0	0.0	0.46	1.67
Zdenek Bahensky	RW	SAS	66	14	17	31	11	101	2	3	4	0	14	0	1	0	4	1	0	0	0	0	0.0	0	0	0.0	0.47	1.53
Mike Hellyer	RW	P.A	49	13	18	31	1	27	4	10	0	0	13	0	1	1	2	3	0	0	0	0	0.0	0	0	0.0	0.63	0.55
Denis Tolpeko	C	SEA	54	13	18	31	19	48	2	5	1	0	13	0	6	0	2	1	0	0	0	0	0.0	0	0	0.0	0.57	0.89
Jason Beeman	RW	TRI	66	13	18	31	1	56	3	2	0	0	13	0	2	0	2	1	0	0	0	0	0.0	0	0	0.0	0.47	0.85
Daine Todd	C	M.H	70	10	21	31	12	31	4	9	0	0	10	0	1	0	3	1	0	0	0	0	0.0	0	0	0.0	0.44	0.44
Matt Schneider	C	TRI	71	16	14	30	-4	42	4	6	3	1	16	0	1	0	2	2	0	0	0	0	0.0	0	0	0.0	0.42	0.59
Josh Aspenlind	RW	S.C	67	14	16	30	-12	160	6	4	0	0	14	0	0	0	2	0	0	0	0	0	0.0	0	0	0.0	0.45	2.39
Troy Ofukany	C	KEL	70	13	17	30	4	32	5	6	0	0	13	0	0	0	3	1	0	0	0	0	0.0	0	0	0.0	0.43	0.46
Eric Hunter	C	P.G	47	12	18	30	-7	57	1	9	1	0	12	0	4	1	4	0	0	0	0	0	0.0	0	0	0.0	0.64	1.21
Matt Robinson	LW	VAN	45	11	19	30	7	16	4	9	0	0	11	0	0	0	4	1	0	0	0	0	0.0	0	0	0.0	0.67	0.36
Brad Erickson	C	P.A	70	10	20	30	-6	32	2	9	2	0	10	0	1	0	2	1	0	0	0	0	0.0	0	0	0.0	0.43	0.46
Michael Funk	D	POR	71	8	22	30	13	84	1	10	2	2	8	0	1	1	0	2	0	0	0	0	0.0	0	0	0.0	0.42	1.18
Karel Hromas	LW	EVT	65	18	11	29	-5	22	8	4	0	0	18	0	3	0	5	3	0	0	0	0	0.0	0	0	0.0	0.45	0.34
Jakub Sindel	C	BRN	35	16	13	29	13	12	3	2	1	0	16	0	3	0	1	3	0	0	0	0	0.0	0	0	0.0	0.83	0.34
Derek LeBlanc	C	BRN	68	14	15	29	7	86	4	3	1	0	14	0	1	0	2	1	0	0	0	0	0.0	0	0	0.0	0.43	1.26
Joel Henituik	LW	RDR	65	12	17	29	-7	27	6	5	0	0	12	0	3	0	3	2	0	0	0	0	0.0	0	0	0.0	0.45	0.42
Tyler Johnson	C	RDR	55	10	19	29	-11	51	4	7	0	0	10	0	0	0	1	2	0	0	0	0	0.0	0	0	0.0	0.53	0.93
Mitch Love	D	EVT	59	9	20	29	0	142	5	14	0	1	9	0	2	0	3	1	0	0	0	0	0.0	0	0	0.0	0.49	2.41
Moises Gutierrez	RW	KAM	68	9	20	29	-6	125	3	7	0	0	9	0	2	1	1	0	0	0	0	0	0.0	0	0	0.0	0.43	1.84
Roman Teslyuk	D	KAM	70	9	20	29	-5	109	6	12	0	1	9	0	1	0	2	2	0	0	0	0	0.0	0	0	0.0	0.41	1.56
Michael Busto	D	KTN	71	8	21	29	18	79	1	9	0	0	8	0	2	1	0	1	0	0	0	0	0.0	0	0	0.0	0.41	1.11
Gary Gladue	D	SPO	72	6	23	29	-5	36	1	8	0	2	6	0	1	0	1	1	0	0	0	0	0.0	0	0	0.0	0.4	0.5
David Schlemko	D	M.H	65	5	24	29	15	23	1	15	1	0	5	0	1	0	0	2	0	0	0	0	0.0	0	0	0.0	0.45	0.35
Jeff Schultz	D	CGY	72	2	27	29	-7	31	1	18	1	0	2	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.4	0.43
Riley Holzapfel	C	M.J	63	15	13	28	2	32	4	3	0	0	15	0	1	0	2	1	0	0	0	0	0.0	0	0	0.0	0.44	0.51
Jevon Desautels	LW	SPO	70	15	13	28	-16	185	4	3	0	1	15	0	2	0	2	0	0	0	0	0	0.0	0	0	0.0	0.4	2.64
Chris Bruton	C	SPO	62	11	17	28	7	55	1	2	0	0	11	0	2	0	2	1	0	0	0	0	0.0	0	0	0.0	0.45	0.89
Conlan Seder	D	VAN	67	7	21	28	7	63	3	11	1	0	7	0	0	0	1	1	0	0	0	0	0.0	0	0	0.0	0.42	0.94
Riley Merkley	C	CGY	71	15	12	27	-1	61	3	5	0	1	15	0	1	0	2	2	0	0	0	0	0.0	0	0	0.0	0.38	0.86
Rick Kozak	RW	P.A	51	14	13	27	1	185	6	7	0	0	14	0	2	0	5	2	0	0	0	0	0.0	0	0	0.0	0.53	3.63
Cody Blanshan	D	M.H	69	6	21	27	20	115	4	10	0	1	6	0	1	0	1	2	0	0	0	0	0.0	0	0	0.0	0.39	1.67
James Cherewyk	D	KTN	68	4	23	27	39	89	2	13	0	0	4	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.4	1.31
Paul Albers	D	VAN	71	4	23	27	-9	48	1	11	0	0	4	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.38	0.68
Mikko Kuukka	D	RDR	65	3	24	27	5	12	1	11	0	0	3	0	3	1	1	0	0	0	0	0	0.0	0	0	0.0	0.42	0.18
Kyle Howarth	LW	SPO	63	16	10	26	2	86	4	1	0	1	16	0	0	0	4	1	0	0	0	0	0.0	0	0	0.0	0.41	1.37
Robert Klinkhammer	LW	LET	72	14	12	26	9	81	3	4	1	0	14	0	1	0	5	0	0	0	0	0	0.0	0	0	0.0	0.36	1.13
Tyler Dietrich	C	EVT	42	13	13	26	6	58	3	4	0	0	13	0	2	0	3	4	0	0	0	0	0.0	0	0	0.0	0.62	1.38
Curtis Billsten	RW	EVT	71	13	13	26	-13	64	4	6	0	0	13	0	2	0	4	1	0	0	0	0	0.0	0	0	0.0	0.37	0.9
Bjorn Svensson	RW	SAS	56	10	16	26	10	14	1	5	0	1	10	0	0	0	3	1	0	0	0	0	0.0	0	0	0.0	0.46	0.25
Tyler Boldt	D	SAS	61	3	23	26	-8	95	3	14	0	1	3	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.43	1.56
Brodie Dupont	C	CGY	70	14	11	25	-4	111	6	3	0	0	14	0	3	0	2	0	0	0	0	0	0.0	0	0	0.0	0.36	1.59
Steve Covington	RW	CGY	71	11	14	25	3	30	6	3	0	0	11	0	1	0	4	1	0	0	0	0	0.0	0	0	0.0	0.35	0.42
Zack FitzGerald	D	SEA	65	7	18	25	34	244	3	7	0	0	7	0	0	0	2	0	0	0	0	0	0.0	0	0	0.0	0.38	3.75
Matthew Hansen	D	SEA	62	5	20	25	37	28	3	6	1	0	5	0	2	0	3	1	0	0	0	0	0.0	0	0	0.0	0.4	0.45
Brett Palin	D	KEL	72	4	21	25	21	71	1	5	0	0	4	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.35	0.99
Michael Grabner	RW	SPO	58	13	11	24	-2	18	0	2	1	1	13	0	1	0	4	0	0	0	0	0	0.0	0	0	0.0	0.41	0.31
Jeremy Schenderling	C	S.C	67	13	11	24	-16	90	5	5	1	0	13	0	2	0	5	1	0	0	0	0	0.0	0	0	0.0	0.36	1.34
Richard Jasovsky	LW	KAM	48	11	13	24	-9	4	3	9	1	0	11	0	2	0	1	0	0	0	0	0	0.0	0	0	0.0	0.5	0.08
Paul Gentile	C	KAM	58	10	14	24	-15	42	4	1	2	0	10	0	2	0	3	0	0	0	0	0	0.0	0	0	0.0	0.41	0.72
Darren Helm	C	M.H	72	10	14	24	6	27	0	0	0	0	10	0	2	0	3	2	0	0	0	0	0.0	0	0	0.0	0.33	0.38
Brett Carson	D	CGY	61	8	16	24	12	61	4	10	1	0	8	0	1	0	2	0	0	0	0	0	0.0	0	0	0.0	0.39	1.0
Brett O'Malley	C	CGY	67	8	16	24	2	47	3	4	0	1	8	0	1	1	4	0	0	0	0	0	0.0	0	0	0.0	0.36	0.7
Danny Lapointe	C	SPO	63	5	19	24	-9	90	1	3	1	1	5	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.38	1.43
Joe Logan	D	SPO	66	5	19	24	-7	32	2	9	0	0	5	0	1	1	3	0	0	0	0	0	0.0	0	0	0.0	0.36	0.48
Logan Pyett	D	REG	67	5	19	24	-33	67	2	11	0	1	5	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.36	1.0
Codey Burki	C	BRN	68	10	13	23	-7	48	1	6	0	0	10	0	0	0	1	3	0	0	0	0	0.0	0	0	0.0	0.34	0.71
Ryan White	C	CGY	63	9	14	23	5	95	4	2	0	0	9	0	3	0	5	0	0	0	0	0	0.0	0	0	0.0	0.37	1.51
Ivan Baranka	D	EVT	64	7	16	23	-15	64	6	11	0	0	7	0	1	0	2	2	0	0	0	0	0.0	0	0	0.0	0.36	1.0
Ryan Menei	RW	SAS	68	7	16	23	8	70	2	3	0	0	7	0	0	0	2	0	0	0	0	0	0.0	0	0	0.0	0.34	1.03
Chris Schlenker	D	P.A	70	7	16	23	-11	155	2	7	0	0	7	0	3	0	2	1	0	0	0	0	0.0	0	0	0.0	0.33	2.21
Shaun Vey	C	TRI	74	7	16	23	-12	36	1	7	0	1	7	0	0	0	1	1	0	0	0	0	0.0	0	0	0.0	0.31	0.49
Dan Ehrman	D	M.J	67	6	17	23	-27	74	3	8	0	0	6	0	2	0	1	1	0	0	0	0	0.0	0	0	0.0	0.34	1.1
