Rank	Name	Team	League	GP	G	A	PTS	PIM	+/-	PGP	PG	PA	PPTS	PPIM	Proj_PTS/GP
115	Mark Rooneem	Kamloops Blazers	WHL	69	18	23	41	77	11	4	0	0	0	10	Not_In_NHL_AHL
117	Cam Janssen	Windsor Spitfires	OHL	64	5	17	22	268	-7	10	0	0	0	13	NHL [0.0, 0.2)
123	Robin Kovar	Vancouver Giants	WHL	35	5	10	15	18	-13	0	0	0	0	0	Not_In_NHL_AHL
124	Lane Manson	Moose Jaw Warriors	WHL	67	4	3	7	88	1	12	0	1	1	6	Not_In_NHL_AHL
137	Cam Paddock	Kelowna Rockets	WHL	72	38	35	73	122	6	15	8	6	14	35	AHL [0.0, 0.2)
138	Patrick Jarrett	Owen Sound Attack	OHL	47	6	24	30	24	-17	0	0	0	0	0	Not_In_NHL_AHL
139	Kris Newbury	Sarnia Sting	OHL	66	42	62	104	141	5	5	1	3	4	15	AHL [0.8, 1.0)
140	George Davis	Cape Breton Screaming Eagles	QMJHL	46	4	1	5	274	2	16	1	2	3	18	Other
144	Paul Flache	Brampton Battalion	OHL	68	9	35	44	148	-15	0	0	0	0	0	Not_In_NHL_AHL
147	David Bararuk	Moose Jaw Warriors	WHL	72	33	29	62	31	10	12	3	2	5	0	Other
155	Armands Berzins	Shawinigan Cataractes	QMJHL	63	17	18	35	59	7	12	2	2	4	6	Not_In_NHL_AHL
156	James Wisniewski	Plymouth Whalers	OHL	62	11	25	36	100	39	6	1	2	3	6	NHL [0.2, 0.4)
162	Gerard Dicaire	Kootenay Ice	WHL	66	6	46	52	34	-2	22	1	13	14	24	Other
167	Brad Schell	Spokane Chiefs	WHL	70	20	36	56	16	-4	11	0	8	8	6	Not_In_NHL_AHL
168	Tim Konsorada	Brandon Wheat Kings	WHL	71	17	28	45	36	-1	19	2	11	13	8	Not_In_NHL_AHL
169	Jeremy Swanson	Barrie Colts	OHL	67	8	16	24	78	27	20	1	4	5	12	AHL [0.0, 0.2)
173	Luke Fritshaw	Prince Albert Raiders	WHL	64	0	17	17	69	15	0	0	0	0	0	Not_In_NHL_AHL
179	Marian Havel	Vancouver Giants	WHL	67	17	16	33	83	-44	0	0	0	0	0	Other
182	Andre Deveaux	Belleville Bulls	OHL	64	8	13	21	89	1	11	1	2	3	30	AHL [0.2, 0.4)
183	Paul Ranger	Oshawa Generals	OHL	62	0	9	9	49	-16	5	0	0	0	4	NHL [0.2, 0.4)
187	Eric Johansson	Tri-City Americans	WHL	69	44	59	103	73	8	5	1	2	3	5	Not_In_NHL_AHL
190	D.J. King	Lethbridge Hurricanes	WHL	65	10	14	24	104	-13	4	1	0	1	2	AHL [0.2, 0.4)
191	Ian White	Swift Current Broncos	WHL	70	32	47	79	40	11	12	4	5	9	12	NHL [0.2, 0.4)
192	Nikita Korovkin	Kamloops Blazers	WHL	72	4	23	27	103	33	1	0	0	0	2	Not_In_NHL_AHL
197	Jimmy Cuddihy	Shawinigan Cataractes	QMJHL	56	9	18	27	49	6	12	0	1	1	8	Not_In_NHL_AHL
200	Denis Yachmenev	North Bay Centennials	OHL	65	17	12	29	32	0	5	2	0	2	0	Other
201	Mathieu Brunelle	Victoriaville Tigres	QMJHL	72	43	64	107	105	14	22	11	13	24	49	Not_In_NHL_AHL
203	Josh Morrow	Tri-City Americans	WHL	76	10	27	37	199	-18	0	0	0	0	0	Other
205	Jean-Francois Dufort	Cape Breton Screaming Eagles	QMJHL	68	22	41	63	267	21	16	4	9	13	24	Other
210	Bryan Hamm	Peterborough Petes	OHL	39	1	1	2	127	2	4	0	0	0	2	Not_In_NHL_AHL
212	Jonathan Ferland	Acadie-Bathurst Titan	QMJHL	55	28	46	74	104	32	16	5	12	17	16	AHL [0.4, 0.6)
214	Marc-Andre Roy	Baie-Comeau Drakkar	QMJHL	58	0	1	1	432	-4	5	0	0	0	0	Not_In_NHL_AHL
216	Ladislav Kouba	Red Deer Rebels	WHL	62	16	14	30	33	22	23	5	3	8	6	Not_In_NHL_AHL
224	Adam Taylor	Kootenay Ice	WHL	72	11	23	34	119	8	19	3	4	7	15	Not_In_NHL_AHL
225	Steven Goertzen	Seattle Thunderbirds	WHL	66	6	9	15	45	-14	11	2	0	2	4	AHL [0.2, 0.4)
229	Derek Meech	Red Deer Rebels	WHL	71	8	19	27	33	35	13	1	1	2	6	AHL [0.4, 0.6)
234	Maxime Talbot	Hull Olympiques	QMJHL	65	24	36	60	174	16	12	4	6	10	51	NHL [0.2, 0.4)
236	Tyler Boldt	Kamloops Blazers	WHL	62	5	14	19	76	13	4	1	0	1	0	Other
241	Dennis Wideman	London Knights	OHL	65	27	42	69	141	-7	12	4	9	13	26	NHL [0.2, 0.4)
249	Marcus Smith	Kitchener Rangers	OHL	65	6	25	31	63	20	4	1	0	1	8	Other
251	Jason Kostadine	Hull Olympiques	QMJHL	70	8	5	13	295	-10	12	1	0	1	37	Not_In_NHL_AHL
255	Ryan Craig	Brandon Wheat Kings	WHL	52	29	35	64	52	19	19	11	10	21	13	NHL [0.2, 0.4)
256	Darren Reid	Medicine Hat Tigers	WHL	37	8	9	17	70	7	0	0	0	0	0	AHL [0.4, 0.6)
260	Pierre-Olivier Beaulieu	Quebec Remparts	QMJHL	62	4	7	11	65	-2	9	0	0	0	6	Not_In_NHL_AHL
261	Francois Caron	Moncton Wildcats	QMJHL	68	3	17	20	99	-33	0	0	0	0	0	Other
266	Steven Spencer	Swift Current Broncos	WHL	65	1	4	5	226	-3	11	0	0	0	36	Other
267	Chris Petrow	Oshawa Generals	OHL	29	1	5	6	19	1	5	0	2	2	0	Not_In_NHL_AHL
281	Bill Kinkel	Kitchener Rangers	OHL	53	1	2	3	75	-7	1	0	0	0	0	Not_In_NHL_AHL
