Rank	Name	Team	League	GP	G	A	PTS	PIM	+/-	PGP	PG	PA	PPTS	PPIM	Proj_PTS/GP
119	Ben Chiarot	Guelph Storm	OHL	67	2	10	12	111	11	4	0	3	3	8	AHL [0.2, 0.4)
120	Nick Petersen	Shawinigan Cataractes	QMJHL	68	37	53	90	42	56	21	10	12	22	22	Not_In_NHL_AHL
124	Cody Sol	Saginaw Spirit	OHL	66	1	6	7	128	4	8	0	2	2	14	Not_In_NHL_AHL
125	David Kolomatis	Owen Sound Attack	OHL	63	18	28	46	52	-5	4	2	2	4	0	AHL [0.4, 0.6)
128	Tomas Vincour	Edmonton Oil Kings	WHL	49	17	19	36	23	2	0	0	0	0	0	Not_In_NHL_AHL
129	Mike Hoffman	Drummondville Voltigeurs	QMJHL	62	52	42	94	86	25	19	21	13	34	26	AHL [1.0, ...]
130	Matt Kennedy	Guelph Storm	OHL	67	33	40	73	95	1	4	3	2	5	0	Other
131	Gabriel Bourque	Baie-Comeau Drakkar	QMJHL	60	22	39	61	82	-4	5	0	2	2	16	NHL [0.2, 0.4)
138	Gabriel Dumont	Drummondville Voltigeurs	QMJHL	51	28	21	49	63	28	19	6	13	19	32	AHL [0.4, 0.6)
144	Brett Flemming	Mississauga St Michaels Majors	OHL	64	3	25	28	89	21	10	1	3	4	2	Not_In_NHL_AHL
146	Philip Varone	London Knights	OHL	58	19	33	52	32	13	14	10	9	19	19	AHL [0.8, 1.0)
150	Andy Bathgate	Belleville Bulls	OHL	44	4	12	16	10	6	0	0	0	0	0	Not_In_NHL_AHL
152	Dave Labrecque	Shawinigan Cataractes	QMJHL	59	13	48	61	76	23	20	3	16	19	34	Not_In_NHL_AHL
154	Jimmy Bubnick	Kamloops Blazers	WHL	72	25	32	57	41	-3	4	0	1	1	6	Other
155	Michael Pelech	Mississauga St Michaels Majors	OHL	68	19	46	65	121	7	11	4	9	13	23	Not_In_NHL_AHL
156	Evan Bloodoff	Kelowna Rockets	WHL	71	12	9	21	77	-4	22	3	3	6	10	Not_In_NHL_AHL
159	Corey Cowick	Ottawa 67s	OHL	68	34	26	60	48	21	7	7	2	9	14	AHL [0.2, 0.4)
164	Scott Timmins	Windsor Spitfires	OHL	66	35	38	73	61	6	20	6	10	16	26	AHL [0.6, 0.8)
165	Scott Valentine	Oshawa Generals	OHL	43	1	8	9	71	-6	0	0	0	0	0	AHL [0.0, 0.2)
167	David Shields	Erie Otters	OHL	61	1	16	17	28	24	5	0	0	0	5	AHL [0.2, 0.4)
169	Daniel Maggio	Sudbury Wolves	OHL	44	2	14	16	60	-8	6	1	0	1	12	AHL [0.0, 0.2)
171	Eric Wellwood	Windsor Spitfires	OHL	61	16	18	34	12	27	20	10	11	21	12	Other
173	Ashton Bernard	Shawinigan Cataractes	QMJHL	53	3	1	4	111	0	1	0	0	0	5	Other
174	Garrett Mitchell	Regina Pats	WHL	71	10	5	15	140	-15	0	0	0	0	0	Other
175	Tyler Randell	Kitchener Rangers	OHL	73	24	13	37	99	-12	0	0	0	0	0	AHL [0.2, 0.4)
178	Brandon Kozun	Calgary Hitmen	WHL	72	40	68	108	58	50	18	7	12	19	8	AHL [0.6, 0.8)
179	Mitch Callahan	Kelowna Rockets	WHL	70	14	13	27	188	11	22	1	3	4	43	AHL [0.6, 0.8)
184	Levko Koper	Spokane Chiefs	WHL	71	23	36	59	57	31	12	3	7	10	6	Not_In_NHL_AHL
185	Jordan Nolan	Soo Greyhounds	OHL	64	16	27	43	158	-17	0	0	0	0	0	NHL [0.0, 0.2)
186	Steven Anthony	Saint John Sea Dogs	QMJHL	67	19	29	48	47	-19	4	1	2	3	4	Not_In_NHL_AHL
187	Barron Smith	Peterborough Petes	OHL	34	0	2	2	57	-9	0	0	0	0	0	Other
188	Marek Viedensky	Prince George Cougars	WHL	59	16	24	40	34	-13	4	2	0	2	2	AHL [0.4, 0.6)
193	Maxime Legault	Shawinigan Cataractes	QMJHL	63	28	16	44	66	22	21	10	3	13	23	Not_In_NHL_AHL
196	Kyle Neuber	Mississauga St Michaels Majors	OHL	59	9	3	12	135	1	10	0	0	0	25	Not_In_NHL_AHL
200	Gaelan Patterson	Saskatoon Blades	WHL	71	22	35	57	41	31	7	1	1	2	2	Not_In_NHL_AHL
204	Benjamin Casavant	Prince Edward Island Rocket	QMJHL	68	39	41	80	49	32	5	2	0	2	0	Not_In_NHL_AHL
207	Tommi Kivisto	Red Deer Rebels	WHL	65	1	21	22	49	-9	0	0	0	0	0	Not_In_NHL_AHL
208	David Gilbert	Quebec Remparts	QMJHL	67	11	32	43	24	14	17	6	2	8	11	Not_In_NHL_AHL
