Rank	Name	Team	League	GP	G	A	PTS	PIM	+/-	PGP	PG	PA	PPTS	PPIM	Proj_PTS/GP
120	Rob Flick	Mississauga St Michaels Majors	OHL	65	15	19	34	157	2	16	2	2	4	44	AHL [0.2, 0.4)
124	Austin Madaisky	Kamloops Blazers	WHL	65	7	20	27	74	-4	4	3	3	6	6	AHL [0.6, 0.8)
125	Tony DeHart	Oshawa Generals	OHL	68	10	40	50	82	-23	0	0	0	0	0	Other
129	Freddie Hamilton	Niagara IceDogs	OHL	64	25	30	55	12	6	5	1	1	2	6	AHL [0.6, 0.8)
130	Jason Wilson	Owen Sound Attack	OHL	46	17	18	35	101	-11	0	0	0	0	0	Not_In_NHL_AHL
133	Micheal Ferland	Brandon Wheat Kings	WHL	61	9	19	28	85	16	15	3	1	4	8	AHL [0.4, 0.6)
134	Cody Beach	Calgary Hitmen	WHL	51	3	11	14	157	6	19	1	7	8	34	AHL [0.2, 0.4)
137	Troy Rutkowski	Portland Winterhawks	WHL	71	12	31	43	70	13	13	4	3	7	8	Not_In_NHL_AHL
139	Luke Walker	Portland Winterhawks	WHL	61	27	30	57	103	17	13	6	4	10	17	Not_In_NHL_AHL
143	Gregg Sutch	Mississauga St Michaels Majors	OHL	43	3	5	8	55	-11	16	4	1	5	10	Other
144	Sam Carrick	Brampton Battalion	OHL	66	21	21	42	96	0	8	2	2	4	8	AHL [0.4, 0.6)
145	Adam Polasek	Prince Edward Island Rocket	QMJHL	66	13	28	41	91	-3	5	0	0	0	2	Not_In_NHL_AHL
147	Brendan Gallagher	Vancouver Giants	WHL	72	41	40	81	111	9	16	11	10	21	14	NHL [0.4, 0.6)
152	Joe Rogalski	Sarnia Sting	OHL	66	6	23	29	75	-38	0	0	0	0	0	Other
153	Corey Durocher	Kingston Frontenacs	OHL	66	15	11	26	31	-5	7	2	0	2	4	Not_In_NHL_AHL
154	Dalton Prout	Barrie Colts	OHL	63	7	14	21	121	26	17	1	6	7	20	NHL [0.0, 0.2)
155	Kendal McFaull	Moose Jaw Warriors	WHL	62	4	6	10	70	1	7	0	1	1	10	Not_In_NHL_AHL
162	Brandon Davidson	Regina Pats	WHL	59	1	33	34	37	15	0	0	0	0	0	AHL [0.0, 0.2)
163	Konrad Abeltshauser	Halifax Mooseheads	QMJHL	48	5	20	25	28	-26	0	0	0	0	0	AHL [0.2, 0.4)
164	Stephen MacAulay	Saint John Sea Dogs	QMJHL	56	8	13	21	39	18	21	2	8	10	10	Not_In_NHL_AHL
166	Drew Czerwonka	Kootenay Ice	WHL	54	4	9	13	106	-5	6	1	2	3	9	Other
167	Tyler Stahl	Chilliwack Bruins	WHL	59	0	6	6	146	-15	6	0	0	0	18	Other
170	Reid McNeill	London Knights	OHL	53	2	3	5	32	11	12	0	1	1	0	AHL [0.0, 0.2)
171	Brooks Macek	Tri-City Americans	WHL	72	21	52	73	26	6	21	6	11	17	17	Not_In_NHL_AHL
172	Alex Friesen	Niagara IceDogs	OHL	60	23	37	60	94	18	5	1	6	7	8	AHL [0.4, 0.6)
173	Cedrick Henley	Val dOr Foreurs	QMJHL	44	5	7	12	43	-8	6	0	0	0	6	Other
176	Samuel Carrier	Lewiston MAINEiacs	QMJHL	66	10	32	42	65	-9	4	1	0	1	14	Not_In_NHL_AHL
178	Mark Stone	Brandon Wheat Kings	WHL	39	11	17	28	25	13	15	1	3	4	4	NHL [0.8, 1.0)
182	Josh Nicholls	Saskatoon Blades	WHL	71	18	30	48	55	19	10	0	5	5	6	Not_In_NHL_AHL
186	Teigan Zahn	Saskatoon Blades	WHL	44	0	3	3	84	-3	10	0	2	2	8	Not_In_NHL_AHL
189	Dylen McKinlay	Chilliwack Bruins	WHL	72	20	22	42	57	0	6	2	3	5	2	Not_In_NHL_AHL
190	Randy McNaught	Saskatoon Blades	WHL	65	6	6	12	163	-6	5	0	0	0	11	Other
193	Patrick Holland	Tri-City Americans	WHL	59	16	20	36	14	2	22	3	7	10	10	AHL [0.0, 0.2)
205	Sawyer Hannay	Halifax Mooseheads	QMJHL	54	1	5	6	158	-17	0	0	0	0	0	Not_In_NHL_AHL
208	Riley Boychuk	Portland Winterhawks	WHL	66	14	16	30	157	12	13	2	1	3	24	Other
209	Brendan Ranford	Kamloops Blazers	WHL	72	29	36	65	83	2	4	2	3	5	4	AHL [0.6, 0.8)
