Rank	Name	Team	League	GP	G	A	PTS	PIM	+/-	PGP	PG	PA	PPTS	PPIM	Proj_PTS/GP
40	Nicolas Meloche	Baie-Comeau Drakkar	QMJHL	44	10	24	34	99	-3	12	4	6	10	22	AHL [0.0, 0.2)
41	Ryan Gropp	Seattle Thunderbirds	WHL	67	30	28	58	44	9	6	1	7	8	8	AHL [0.0, 0.2)
44	Matthew Spencer	Peterborough Petes	OHL	67	6	24	30	64	-15	5	1	0	1	2	Not_In_NHL_AHL
46	Daniel Sprong	Charlottetown Islanders	QMJHL	68	39	49	88	18	-23	10	7	4	11	6	AHL [0.0, 0.2)
47	Jansen Harkins	Prince George Cougars	WHL	70	20	59	79	45	7	5	0	4	4	2	AHL [0.0, 0.2)
48	Filip Chlapik	Charlottetown Islanders	QMJHL	64	33	42	75	42	-16	9	1	8	9	10	AHL [0.0, 0.2)
51	Brendan Guhle	Prince Albert Raiders	WHL	72	5	27	32	36	-6	0	0	0	0	0	NHL [0.2, 0.4)
52	Jeremy Lauzon	Rouyn-Noranda Huskies	QMJHL	60	15	21	36	88	12	0	0	0	0	0	AHL [0.0, 0.2)
53	Rasmus Andersson	Barrie Colts	OHL	67	12	52	64	88	14	9	1	3	4	6	NHL [0.2, 0.4)
54	Graham Knott	Niagara IceDogs	OHL	59	25	18	43	33	1	11	2	2	4	2	Not_In_NHL_AHL
55	Yakov Trenin	Gatineau Olympiques	QMJHL	58	18	49	67	34	17	11	3	8	11	10	AHL [0.0, 0.2)
56	Vince Dunn	Niagara IceDogs	OHL	68	18	38	56	59	8	8	6	4	10	22	NHL [0.2, 0.4)
63	Kyle Capobianco	Sudbury Wolves	OHL	68	10	30	40	54	-49	0	0	0	0	0	AHL [0.0, 0.2)
64	Dennis Yan	Shawinigan Cataractes	QMJHL	59	33	31	64	71	23	7	7	1	8	6	AHL [0.0, 0.2)
65	Andrew Nielsen	Lethbridge Hurricanes	WHL	59	7	17	24	101	-9	0	0	0	0	0	AHL [0.0, 0.2)
66	Guillaume Brisebois	Acadie-Bathurst Titan	QMJHL	63	4	24	28	34	-40	0	0	0	0	0	AHL [0.0, 0.2)
67	Blake Speers	Soo Greyhounds	OHL	57	24	43	67	12	25	14	3	6	9	4	AHL [0.0, 0.2)
69	Keegan Kolesar	Seattle Thunderbirds	WHL	64	19	19	38	85	-7	0	0	0	0	0	AHL [0.0, 0.2)
71	Jean-Christophe Beaudin	Rouyn-Noranda Huskies	QMJHL	68	14	39	53	29	16	6	1	4	5	4	NHL [0.0, 0.2)
72	Anthony Cirelli	Oshawa Generals	OHL	68	13	23	36	22	34	21	2	8	10	4	NHL [0.6, 0.8)
79	Sergey Zborovskiy	Regina Pats	WHL	71	3	16	19	70	15	6	0	1	1	13	Not_In_NHL_AHL
82	Mitchell Vande Sompel	Oshawa Generals	OHL	58	12	51	63	38	31	21	5	9	14	4	Other
84	Deven Sideroff	Kamloops Blazers	WHL	64	17	25	42	25	18	0	0	0	0	0	Other
88	Thomas Schemitsch	Owen Sound Attack	OHL	68	14	35	49	36	0	5	0	2	2	2	AHL [0.0, 0.2)
94	Adam Musil	Red Deer Rebels	WHL	66	15	24	39	71	-7	0	0	0	0	0	Not_In_NHL_AHL
96	Nicolas Roy	Chicoutimi Sagueneens	QMJHL	68	16	34	50	40	-3	5	2	3	5	8	NHL [0.2, 0.4)
97	Colton White	Soo Greyhounds	OHL	67	6	16	22	30	38	14	0	2	2	0	AHL [0.0, 0.2)
98	Samuel Dove-McFalls	Saint John Sea Dogs	QMJHL	66	14	20	34	73	12	5	1	0	1	4	Not_In_NHL_AHL
99	Austin Wagner	Regina Pats	WHL	61	20	19	39	53	13	9	1	2	3	8	NHL [0.0, 0.2)
100	Anthony Richard	Val dOr Foreurs	QMJHL	66	43	48	91	78	-9	17	12	10	22	10	AHL [0.0, 0.2)
103	Chris Martenet	London Knights	OHL	64	7	9	16	49	4	10	0	0	0	2	Not_In_NHL_AHL
105	Jesse Gabrielle	Regina Pats	WHL	66	23	21	44	112	2	9	1	3	4	8	Other
106	Adam Helewka	Spokane Chiefs	WHL	69	44	43	87	59	10	6	3	2	5	12	Not_In_NHL_AHL
112	Parker Wotherspoon	Tri-City Americans	WHL	72	9	33	42	93	-13	4	0	1	1	4	AHL [0.0, 0.2)
113	Brad Morrison	Prince George Cougars	WHL	67	23	27	50	30	-3	5	2	5	7	4	Other
115	Alexandre Carrier	Gatineau Olympiques	QMJHL	68	12	43	55	64	17	11	2	3	5	18	AHL [0.0, 0.2)
116	Glenn Gawdin	Swift Current Broncos	WHL	72	15	39	54	59	-9	4	1	1	2	0	AHL [0.0, 0.2)
120	Mathieu Joseph	Saint John Sea Dogs	QMJHL	59	21	21	42	46	18	5	1	2	3	4	NHL [0.0, 0.2)
122	Devante Stephens	Kelowna Rockets	WHL	64	4	7	11	33	17	17	0	4	4	8	AHL [0.0, 0.2)
123	Conor Garland	Moncton Wildcats	QMJHL	67	35	94	129	66	21	16	3	22	25	17	NHL [0.4, 0.6)
124	Ethan Bear	Seattle Thunderbirds	WHL	69	13	25	38	23	1	6	1	2	3	0	NHL [0.2, 0.4)
125	Dmytro Timashov	Quebec Remparts	QMJHL	66	19	71	90	54	17	22	3	15	18	18	NHL [0.2, 0.4)
129	Sam Ruopp	Prince George Cougars	WHL	64	3	23	26	140	3	5	1	2	3	4	Other
131	Matt Bradley	Medicine Hat Tigers	WHL	71	17	23	40	24	-2	10	0	2	2	2	Not_In_NHL_AHL
134	Matt Schmalz	Sudbury Wolves	OHL	66	24	16	40	68	-57	0	0	0	0	0	Not_In_NHL_AHL
136	Pavel Karnaukhov	Calgary Hitmen	WHL	69	20	22	42	51	-4	17	6	5	11	10	Not_In_NHL_AHL
138	Spencer Smallman	Saint John Sea Dogs	QMJHL	66	23	33	56	73	17	5	1	3	4	4	AHL [0.0, 0.2)
143	Connor Hobbs	Regina Pats	WHL	45	2	16	18	36	6	8	2	0	2	7	Other
144	Carl Neill	Sherbrooke Phoenix	QMJHL	63	14	26	40	77	-16	6	1	5	6	4	Not_In_NHL_AHL
147	Ryan Pilon	Brandon Wheat Kings	WHL	68	11	41	52	40	36	19	1	11	12	10	Other
152	Giorgio Estephan	Lethbridge Hurricanes	WHL	64	23	28	51	18	-1	0	0	0	0	0	Not_In_NHL_AHL
155	Stephen Desrocher	Oshawa Generals	OHL	66	10	13	23	41	33	21	4	8	12	14	Not_In_NHL_AHL
161	Sergei Boikov	Drummondville Voltigeurs	QMJHL	64	3	18	21	64	11	0	0	0	0	0	Other
164	Roy Radke	Barrie Colts	OHL	64	9	9	18	29	-5	9	4	0	4	2	Other
166	Andrew Mangiapane	Barrie Colts	OHL	68	43	61	104	54	24	9	6	4	10	12	NHL [0.4, 0.6)
173	Colby Williams	Regina Pats	WHL	64	11	30	41	95	45	9	3	5	8	12	AHL [0.0, 0.2)
176	Liam Dunda	Owen Sound Attack	OHL	53	2	7	9	58	-6	5	0	1	1	2	Not_In_NHL_AHL
177	Simon Bourque	Rimouski Oceanic	QMJHL	68	10	28	38	69	27	17	1	4	5	18	Not_In_NHL_AHL
180	Bokondji Imama	Saint John Sea Dogs	QMJHL	59	13	15	28	137	2	5	0	1	1	6	AHL [0.0, 0.2)
185	Nikita Korostelev	Sarnia Sting	OHL	55	24	29	53	18	4	5	1	2	3	4	Not_In_NHL_AHL
186	Steven Lorentz	Peterborough Petes	OHL	59	16	21	37	15	-1	5	0	1	1	2	AHL [0.0, 0.2)
187	Chaz Reddekopp	Victoria Royals	WHL	72	5	16	21	53	12	10	0	2	2	12	AHL [0.0, 0.2)
196	Riley Bruce	North Bay Battalion	OHL	52	0	3	3	32	-2	15	1	0	1	6	Not_In_NHL_AHL
200	Adam Marsh	Saint John Sea Dogs	QMJHL	60	24	20	44	57	0	0	0	0	0	0	Other
201	Gustav Bouramman	Soo Greyhounds	OHL	67	5	39	44	14	33	11	1	3	4	4	Not_In_NHL_AHL
203	Matteo Gennaro	Prince Albert Raiders	WHL	72	16	15	31	44	-9	0	0	0	0	0	Other
207	Jeremiah Addison	Ottawa 67s	OHL	63	19	28	47	49	3	6	6	4	10	7	Not_In_NHL_AHL
210	Tate Olson	Prince George Cougars	WHL	68	5	19	24	69	-13	5	3	0	3	0	Not_In_NHL_AHL
