League	GP	G	A	PTS	PGP	PG	PA	PPTS	Proj_PTS/GP	Position	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G	Year	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G	Height	Weight
OHL	63	30	45	75	15	7	6	13	AHL [0.6, 0.8)	C	15	18	16	31	0	0	0	0	4	0	6	4	0	0	0	0	0.0	0	0	0.0	1.19	0.29	2003-04	-2	2	4	5	0	0	0	0	2	0	1	1	0	0	0	0	0.0	0	0	0.0	0.87	0.13	175.0	184
OHL	59	20	16	36	7	3	0	3	AHL [0.2, 0.4)	LW	-9	76	3	8	0	0	0	0	1	0	2	3	0	0	0	0	0.0	0	0	0.0	0.61	1.29	2003-04	-1	11	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0.0	0	0	0.0	0.43	1.57	190.0	223
OHL	52	19	28	47	4	1	0	1	AHL [0.0, 0.2)	C	15	44	8	4	0	0	0	0	4	1	6	1	0	0	0	0	0.0	0	0	0.0	0.9	0.85	2003-04	-4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.25	1.5	182.5	202
WHL	71	10	23	33	17	4	2	6	NHL [0.4, 0.6)	RW	13	57	1	5	1	0	10	0	1	0	0	2	0	0	0	0	0.0	0	0	0.0	0.46	0.8	2003-04	4	23	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.35	1.35	180.0	198
WHL	51	9	8	17	6	1	2	3	Other	LW	-5	67	5	3	0	0	9	0	4	0	3	0	0	0	0	0	0.0	0	0	0.0	0.33	1.31	2003-04	2	17	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.5	2.83	187.5	204
QMJHL	68	24	33	57	18	0	14	14	Not_In_NHL_AHL	C	-4	89	11	13	1	0	216	216	4	0	5	3	0	0	0	0	0.0	1303	691	53.0	0.84	1.31	2003-04	4	4	0	7	0	0	41	41	0	0	0	0	0	0	0	0	0.0	287	159	55.4	0.78	0.22	195.0	220
WHL	71	30	48	78	5	0	2	2	NHL [0.4, 0.6)	C	-4	56	12	26	1	1	30	0	5	1	8	2	0	0	0	0	0.0	0	0	0.0	1.1	0.79	2003-04	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.4	1.2	182.5	210
QMJHL	60	30	23	53	20	8	9	17	AHL [0.8, 1.0)	LW	7	76	10	8	2	0	166	166	4	0	3	2	0	0	0	0	0.0	102	48	47.1	0.88	1.27	2003-04	8	14	3	3	0	0	43	43	2	0	1	0	0	0	0	0	0.0	60	22	36.7	0.85	0.7	175.0	198
QMJHL	69	22	16	38	9	4	1	5	Not_In_NHL_AHL	LW	6	112	5	3	0	0	120	120	5	0	1	2	0	0	0	0	0.0	104	31	29.8	0.55	1.62	2003-04	-2	12	1	1	0	0	25	25	0	0	0	1	0	0	0	0	0.0	18	8	44.4	0.56	1.33	187.5	204
OHL	66	17	29	46	7	0	2	2	Not_In_NHL_AHL	LW	-2	44	8	8	1	0	0	0	2	0	3	2	0	0	0	0	0.0	0	0	0.0	0.7	0.67	2003-04	-5	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.29	0.57	187.5	205
OHL	64	19	33	52	15	7	13	20	NHL [0.0, 0.2)	LW	23	269	2	6	7	1	0	0	4	1	4	3	0	0	0	0	0.0	0	0	0.0	0.81	4.2	2003-04	20	33	0	0	1	1	0	0	2	1	0	2	0	0	0	0	0.0	0	0	0.0	1.33	2.2	185.0	192
OHL	53	26	41	67	18	4	13	17	AHL [0.8, 1.0)	C	16	105	10	27	1	1	0	0	6	1	5	3	0	0	0	0	0.0	0	0	0.0	1.26	1.98	2003-04	1	24	2	6	0	1	0	0	0	0	2	1	0	0	0	0	0.0	0	0	0.0	0.94	1.33	180.0	188
OHL	67	14	28	42	9	0	3	3	Not_In_NHL_AHL	LW	1	108	8	11	0	0	0	0	3	0	5	3	0	0	0	0	0.0	0	0	0.0	0.63	1.61	2003-04	-2	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.33	0.44	192.5	198
WHL	72	18	20	38	10	2	2	4	NHL [0.2, 0.4)	C	-5	15	5	6	0	1	18	0	4	0	5	1	0	0	0	0	0.0	0	0	0.0	0.53	0.21	2003-04	5	8	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0.0	0	0	0.0	0.4	0.8	180.0	187
OHL	68	17	25	42	24	4	6	10	Not_In_NHL_AHL	RW	23	25	1	4	1	0	0	0	2	0	4	1	0	0	0	0	0.0	0	0	0.0	0.62	0.37	2003-04	5	23	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.42	0.96	177.5	190
QMJHL	54	10	13	23	15	3	4	7	Other	LW	5	121	5	2	0	0	86	86	1	0	2	1	0	0	0	0	0.0	17	6	35.3	0.43	2.24	2003-04	4	11	0	3	0	0	29	29	0	0	0	2	0	0	0	0	0.0	2	0	0.0	0.47	0.73	185.0	230
WHL	72	15	22	37	10	6	2	8	Not_In_NHL_AHL	RW	5	61	5	2	0	2	15	0	5	0	4	0	0	0	0	0	0.0	0	0	0.0	0.51	0.85	2003-04	4	18	2	0	1	0	6	0	1	0	1	3	0	0	0	0	0.0	0	0	0.0	0.8	1.8	182.5	205
WHL	72	19	14	33	4	1	1	2	AHL [0.0, 0.2)	LW	-7	30	6	5	0	0	19	0	5	1	3	1	0	0	0	0	0.0	0	0	0.0	0.46	0.42	2003-04	-2	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.5	0.5	180.0	185
QMJHL	68	7	11	18	7	1	1	2	Not_In_NHL_AHL	LW	-6	97	1	1	0	0	58	58	0	0	1	1	0	0	0	0	0.0	117	53	45.3	0.26	1.43	2003-04	1	8	0	1	0	0	11	11	0	0	0	1	0	0	0	0	0.0	8	4	50.0	0.29	1.14	192.5	195
WHL	71	16	24	40	5	0	0	0	AHL [0.0, 0.2)	C	9	6	8	8	0	0	16	0	0	0	4	2	0	0	0	0	0.0	0	0	0.0	0.56	0.08	2003-04	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	187.5	206
QMJHL	70	21	22	43	11	1	3	4	AHL [0.6, 0.8)	RW	7	51	6	5	3	2	196	196	3	0	4	0	0	0	0	0	0.0	51	21	41.2	0.61	0.73	2003-04	2	6	0	0	0	0	23	23	0	0	0	0	0	0	0	0	0.0	3	1	33.3	0.36	0.55	182.5	194
OHL	68	36	32	68	22	13	8	21	NHL [0.4, 0.6)	RW	17	86	13	10	1	1	0	0	8	2	5	5	0	0	0	0	0.0	0	0	0.0	1.0	1.26	2003-04	4	20	5	3	2	0	0	0	1	0	4	4	0	0	0	0	0.0	0	0	0.0	0.95	0.91	175.0	190
OHL	68	15	36	51	5	2	1	3	AHL [0.6, 0.8)	C	4	28	4	10	0	0	0	0	2	0	3	0	0	0	0	0	0.0	0	0	0.0	0.75	0.41	2003-04	-4	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.6	0.4	180.0	190
OHL	62	9	14	23	15	7	8	15	Not_In_NHL_AHL	RW	15	48	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0.0	0	0	0.0	0.37	0.77	2003-04	15	14	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0.0	0	0	0.0	1.0	0.93	177.5	170
QMJHL	70	23	27	50	8	0	2	2	Not_In_NHL_AHL	RW	11	16	7	14	0	0	149	149	1	0	1	2	0	0	0	0	0.0	45	15	33.3	0.71	0.23	2003-04	-1	2	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0.0	1	1	100.0	0.25	0.25	177.5	185
QMJHL	50	4	11	15	9	0	0	0	AHL [0.0, 0.2)	RW	-4	194	1	2	1	1	46	46	1	0	0	0	0	0	0	0	0.0	115	26	22.6	0.3	3.88	2003-04	-1	28	0	0	0	0	21	21	0	0	0	0	0	0	0	0	0.0	115	43	37.4	0.0	3.11	185.0	205
OHL	68	15	15	30	9	0	3	3	Other	RW	4	214	11	8	0	0	0	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	0.44	3.15	2003-04	-1	23	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.33	2.56	180.0	210
OHL	63	18	27	45	18	5	4	9	AHL [0.2, 0.4)	C	18	32	7	11	3	0	0	0	3	1	4	3	0	0	0	0	0.0	0	0	0.0	0.71	0.51	2003-04	-1	10	2	3	0	0	0	0	1	0	1	1	0	0	0	0	0.0	0	0	0.0	0.5	0.56	182.5	177
WHL	71	7	12	19	5	1	0	1	Not_In_NHL_AHL	RW	3	38	3	0	0	0	7	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.27	0.54	2003-04	1	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.2	1.2	190.0	225
WHL	35	3	2	5	6	0	0	0	AHL [0.0, 0.2)	RW	1	31	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	0.14	0.89	2003-04	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	1.33	187.5	220
WHL	69	11	12	23	11	3	2	5	Not_In_NHL_AHL	C	2	15	2	2	1	0	11	0	1	0	3	3	0	0	0	0	0.0	0	0	0.0	0.33	0.22	2003-04	0	4	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.45	0.36	197.5	185
OHL	67	29	36	65	7	5	3	8	AHL [0.8, 1.0)	RW	11	56	6	8	0	1	0	0	6	0	9	2	0	0	0	0	0.0	0	0	0.0	0.97	0.84	2003-04	0	11	2	2	1	0	0	0	0	0	1	1	0	0	0	0	0.0	0	0	0.0	1.14	1.57	187.5	225
QMJHL	54	6	8	14	5	0	0	0	Other	LW	-14	14	1	1	0	0	66	66	1	0	0	0	0	0	0	0	0.0	49	23	46.9	0.26	0.26	2003-04	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0.0	21	14	66.7	0.0	0.4	187.5	185
WHL	72	23	26	49	10	3	0	3	NHL [0.2, 0.4)	RW	15	47	10	13	1	0	23	0	2	1	5	7	0	0	0	0	0.0	0	0	0.0	0.68	0.65	2003-04	3	12	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.3	1.2	185.0	214
WHL	67	11	8	19	19	1	2	3	Not_In_NHL_AHL	LW	-5	12	3	3	1	0	11	0	1	0	3	2	0	0	0	0	0.0	0	0	0.0	0.28	0.18	2003-04	-6	18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.16	0.95	187.5	183
OHL	63	18	28	46	9	1	6	7	Other	LW	0	83	7	7	0	1	0	0	2	0	3	1	0	0	0	0	0.0	0	0	0.0	0.73	1.32	2003-04	-1	16	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.78	1.78	185.0	177
WHL	49	8	16	24	17	4	5	9	AHL [0.2, 0.4)	C	7	0	0	3	1	2	8	0	1	1	3	2	0	0	0	0	0.0	0	0	0.0	0.49	0.0	2003-04	6	9	0	0	0	0	4	0	0	0	2	1	0	0	0	0	0.0	0	0	0.0	0.53	0.53	175.0	188
WHL	72	25	21	46	17	4	5	9	AHL [0.6, 0.8)	LW	16	18	13	10	0	0	25	0	5	2	6	3	0	0	0	0	0.0	0	0	0.0	0.64	0.25	2003-04	5	18	1	2	0	0	4	0	2	0	0	0	0	0	0	0	0.0	0	0	0.0	0.53	1.06	177.5	183
OHL	64	26	53	79	15	4	10	14	AHL [0.2, 0.4)	LW	35	47	8	24	0	2	0	0	5	1	4	4	0	0	0	0	0.0	0	0	0.0	1.23	0.73	2003-04	-2	10	2	6	0	0	0	0	1	0	1	1	0	0	0	0	0.0	0	0	0.0	0.93	0.67	177.5	198
WHL	72	26	35	61	4	1	1	2	AHL [0.2, 0.4)	RW	-2	30	13	11	0	0	26	0	3	0	5	3	0	0	0	0	0.0	0	0	0.0	0.85	0.42	2003-04	-4	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.5	0.5	182.5	216
WHL	69	10	8	18	11	1	1	2	AHL [0.2, 0.4)	LW	-16	267	3	2	1	0	10	0	2	0	3	1	0	0	0	0	0.0	0	0	0.0	0.26	3.87	2003-04	-4	33	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.18	3.0	182.5	211
WHL	62	21	24	45	0	0	0	0	AHL [0.4, 0.6)	LW	8	6	6	6	1	0	21	0	1	0	5	3	0	0	0	0	0.0	0	0	0.0	0.73	0.1	2003-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	177.5	184
OHL	68	31	33	64	0	0	0	0	NHL [0.2, 0.4)	LW	-7	24	10	15	0	0	0	0	3	0	6	3	0	0	0	0	0.0	0	0	0.0	0.94	0.35	2003-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	177.5	178
WHL	68	16	33	49	0	0	0	0	NHL [0.6, 0.8)	LW	-5	23	5	12	0	1	16	0	3	0	5	2	0	0	0	0	0.0	0	0	0.0	0.72	0.34	2003-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	175.0	182
OHL	67	14	14	28	0	0	0	0	NHL [0.0, 0.2)	RW	-6	124	5	3	1	2	0	0	1	1	3	1	0	0	0	0	0.0	0	0	0.0	0.42	1.85	2003-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	182.5	206
OHL	68	10	18	28	0	0	0	0	Not_In_NHL_AHL	RW	-22	81	5	7	0	0	0	0	2	0	3	0	0	0	0	0	0.0	0	0	0.0	0.41	1.19	2003-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	182.5	195
OHL	66	15	30	45	0	0	0	0	Not_In_NHL_AHL	C	-1	52	3	11	0	1	0	0	3	0	2	0	0	0	0	0	0.0	0	0	0.0	0.68	0.79	2003-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	177.5	180
WHL	70	19	23	42	0	0	0	0	Not_In_NHL_AHL	C	-1	41	8	5	1	2	19	0	3	0	1	2	0	0	0	0	0.0	0	0	0.0	0.6	0.59	2003-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	185.0	205
WHL	63	21	15	36	0	0	0	0	AHL [0.2, 0.4)	C	18	13	2	2	2	0	21	0	3	0	4	0	0	0	0	0	0.0	0	0	0.0	0.57	0.21	2003-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	177.5	186
QMJHL	69	16	15	31	0	0	0	0	Other	RW	-26	45	4	2	1	0	136	136	2	0	3	0	0	0	0	0	0.0	36	15	41.7	0.45	0.65	2003-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	187.5	202
QMJHL	62	66	102	168	13	14	17	31	NHL [1.0, ...]	C	78	84	15	49	7	2	348	348	11	1	5	9	0	0	0	0	0.0	915	456	49.8	2.71	1.35	2004-05	11	16	4	11	0	0	73	73	0	0	4	1	0	0	0	0	0.0	197	97	49.2	2.38	1.23	177.5	200
OHL	62	37	52	89	8	2	7	9	NHL [0.6, 0.8)	RW	30	51	11	20	4	1	0	0	5	0	5	7	0	0	0	0	0.0	0	0	0.0	1.44	0.82	2004-05	2	8	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.13	1.0	185.0	208
OHL	67	29	38	67	12	6	8	14	NHL [0.4, 0.6)	LW	7	102	8	17	0	0	0	0	5	0	2	7	0	0	0	0	0.0	0	0	0.0	1.0	1.52	2004-05	3	20	3	4	0	0	0	0	2	1	0	0	0	0	0	0	0.0	0	0	0.0	1.17	1.67	187.5	199
WHL	70	39	48	87	6	1	3	4	NHL [0.4, 0.6)	C	4	169	13	19	4	2	39	0	8	1	4	4	0	0	0	0	0.0	0	0	0.0	1.24	2.41	2004-05	2	8	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.67	1.33	177.5	186
WHL	69	33	31	64	4	0	1	1	NHL [0.4, 0.6)	RW	20	34	8	8	2	3	33	0	3	0	4	4	0	0	0	0	0.0	0	0	0.0	0.93	0.49	2004-05	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.25	0.0	180.0	200
QMJHL	59	32	50	82	17	11	6	17	Not_In_NHL_AHL	C	6	48	17	19	0	0	188	188	5	0	1	7	0	0	0	0	0.0	743	284	38.2	1.39	0.81	2004-05	2	28	3	5	0	0	40	40	0	0	0	3	0	0	0	0	0.0	253	111	43.9	1.0	1.65	182.5	195
OHL	64	25	38	63	6	4	1	5	AHL [0.2, 0.4)	C	-4	60	8	24	1	1	0	0	1	0	4	3	0	0	0	0	0.0	0	0	0.0	0.98	0.94	2004-05	-3	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.83	0.0	185.0	220
QMJHL	65	31	55	86	8	6	8	14	Not_In_NHL_AHL	C	27	172	7	20	5	4	216	216	5	1	6	3	0	0	0	0	0.0	738	315	42.7	1.32	2.65	2004-05	2	25	3	6	0	0	30	30	0	0	1	0	0	0	0	0	0.0	151	76	50.3	1.75	3.13	175.0	205
WHL	70	37	37	74	5	1	0	1	Other	LW	-4	122	17	13	2	2	37	0	4	0	6	4	0	0	0	0	0.0	0	0	0.0	1.06	1.74	2004-05	-7	16	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.2	3.2	177.5	190
OHL	61	21	52	73	11	4	5	9	NHL [0.4, 0.6)	C	1	179	9	23	0	1	0	0	2	0	4	2	0	0	0	0	0.0	0	0	0.0	1.2	2.93	2004-05	-5	49	1	2	0	0	0	0	2	1	0	0	0	0	0	0	0.0	0	0	0.0	0.82	4.45	177.5	191
OHL	67	18	26	44	4	1	1	2	NHL [0.6, 0.8)	LW	-5	32	7	8	0	0	0	0	5	1	0	2	0	0	0	0	0.0	0	0	0.0	0.66	0.48	2004-05	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.5	1.5	185.0	208
QMJHL	65	29	49	78	6	6	4	10	NHL [0.4, 0.6)	RW	8	76	16	19	1	0	242	242	1	1	1	4	0	0	0	0	0.0	248	110	44.4	1.2	1.17	2004-05	3	7	3	0	0	0	29	29	0	0	2	0	0	0	0	0	0.0	12	7	58.3	1.67	1.17	185.0	230
QMJHL	69	54	62	116	13	11	9	20	Not_In_NHL_AHL	LW	61	66	25	20	1	0	262	262	7	0	5	6	0	0	0	0	0.0	512	226	44.1	1.68	0.96	2004-05	10	8	5	4	1	0	54	54	1	0	2	2	0	0	0	0	0.0	215	106	49.3	1.54	0.62	185.0	190
WHL	69	3	3	6	6	1	2	3	AHL [0.0, 0.2)	RW	-11	172	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.09	2.49	2004-05	0	14	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.5	2.33	190.0	232
WHL	72	30	32	62	4	0	1	1	Other	C	11	73	9	10	0	0	30	0	8	0	5	2	0	0	0	0	0.0	0	0	0.0	0.86	1.01	2004-05	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.25	0.0	187.5	212
WHL	70	14	11	25	12	2	8	10	AHL [0.4, 0.6)	C	-4	111	6	3	0	0	14	0	3	0	2	0	0	0	0	0	0.0	0	0	0.0	0.36	1.59	2004-05	4	21	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.83	1.75	185.0	212
OHL	68	25	21	46	4	0	0	0	Not_In_NHL_AHL	RW	-3	60	6	7	2	2	0	0	4	1	2	4	0	0	0	0	0.0	0	0	0.0	0.68	0.88	2004-05	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	1.5	182.5	185
QMJHL	55	1	3	4	7	0	0	0	Other	LW	-2	131	0	0	0	0	20	20	0	0	1	0	0	0	0	0	0.0	8	4	50.0	0.07	2.38	2004-05	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1	1	100.0	0.0	1.14	192.5	238
OHL	66	11	17	28	5	1	1	2	AHL [0.0, 0.2)	C	5	103	7	3	2	1	0	0	2	0	4	0	0	0	0	0	0.0	0	0	0.0	0.42	1.56	2004-05	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.4	1.6	182.5	204
OHL	59	20	30	50	14	3	4	7	AHL [0.4, 0.6)	LW	2	41	8	12	1	1	0	0	3	0	1	1	0	0	0	0	0.0	0	0	0.0	0.85	0.69	2004-05	-2	20	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0.0	0	0	0.0	0.5	1.43	185.0	195
WHL	68	14	36	50	5	2	5	7	AHL [0.4, 0.6)	C	10	78	4	16	1	1	14	0	1	0	7	1	0	0	0	0	0.0	0	0	0.0	0.74	1.15	2004-05	-1	8	1	4	0	0	2	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.4	1.6	185.0	216
WHL	67	11	22	33	7	0	2	2	Not_In_NHL_AHL	C	1	116	4	9	0	1	11	0	2	0	2	3	0	0	0	0	0.0	0	0	0.0	0.49	1.73	2004-05	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.29	1.57	185.0	182
QMJHL	49	19	26	45	8	3	6	9	Not_In_NHL_AHL	C	10	24	5	13	1	0	165	165	2	0	4	2	0	0	0	0	0.0	1143	647	56.6	0.92	0.49	2004-05	3	6	2	3	0	0	20	20	0	0	1	0	0	0	0	0	0.0	79	44	55.7	1.13	0.75	187.5	190
WHL	72	10	14	24	13	2	6	8	NHL [0.2, 0.4)	C	6	27	0	0	0	0	10	0	2	0	3	2	0	0	0	0	0.0	0	0	0.0	0.33	0.38	2004-05	3	10	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.62	0.77	177.5	195
QMJHL	53	18	72	90	17	4	18	22	Not_In_NHL_AHL	RW	0	42	8	48	2	0	192	192	4	1	3	1	0	0	0	0	0.0	131	64	48.9	1.7	0.79	2004-05	-5	26	2	10	0	0	60	60	0	0	3	0	0	0	0	0	0.0	57	32	56.1	1.29	1.53	180.0	195
WHL	51	14	32	46	5	1	2	3	Not_In_NHL_AHL	LW	-6	49	9	12	0	0	14	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	0.9	0.96	2004-05	-4	5	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.6	1.0	185.0	184
OHL	65	9	13	22	13	2	3	5	AHL [0.0, 0.2)	LW	32	159	0	0	0	0	0	0	1	0	3	2	0	0	0	0	0.0	0	0	0.0	0.34	2.45	2004-05	4	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.38	1.0	182.5	180
WHL	70	22	45	67	4	1	2	3	AHL [0.2, 0.4)	C	23	70	7	17	1	2	22	0	6	1	2	4	0	0	0	0	0.0	0	0	0.0	0.96	1.0	2004-05	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.75	0.0	175.0	169
WHL	64	7	9	16	23	2	4	6	AHL [0.0, 0.2)	RW	-5	79	1	1	0	0	7	0	2	0	2	0	0	0	0	0	0.0	0	0	0.0	0.25	1.23	2004-05	-3	43	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.26	1.87	182.5	225
WHL	70	8	11	19	16	1	2	3	AHL [0.2, 0.4)	C	0	70	1	2	0	0	8	0	4	0	2	1	0	0	0	0	0.0	0	0	0.0	0.27	1.0	2004-05	2	16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.19	1.0	180.0	200
OHL	59	24	22	46	4	0	2	2	NHL [0.0, 0.2)	RW	0	29	3	8	0	0	0	0	4	0	4	1	0	0	0	0	0.0	0	0	0.0	0.78	0.49	2004-05	-2	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.5	2.0	180.0	200
QMJHL	69	13	26	39	17	2	2	4	AHL [0.2, 0.4)	C	-4	31	5	8	0	0	104	104	2	0	1	1	0	0	0	0	0.0	1154	515	44.6	0.57	0.45	2004-05	-5	10	1	1	0	0	27	27	1	0	0	0	0	0	0	0	0.0	284	145	51.1	0.24	0.59	187.5	200
WHL	66	32	21	53	16	6	7	13	AHL [0.4, 0.6)	C	27	18	11	8	5	0	32	0	3	0	4	6	0	0	0	0	0.0	0	0	0.0	0.8	0.27	2004-05	5	12	1	3	0	0	6	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	0.81	0.75	175.0	174
OHL	63	1	4	5	6	0	0	0	Other	C	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.08	1.02	2004-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	187.5	176
QMJHL	19	4	4	8	0	0	0	0	AHL [0.2, 0.4)	RW	1	8	4	1	0	0	32	32	1	0	0	3	0	0	0	0	0.0	407	211	51.8	0.42	0.42	2004-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	180.0	200
OHL	67	32	28	60	0	0	0	0	AHL [0.4, 0.6)	RW	-14	58	11	7	0	0	0	0	5	1	2	1	0	0	0	0	0.0	0	0	0.0	0.9	0.87	2004-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	185.0	207
OHL	57	18	30	48	0	0	0	0	AHL [0.8, 1.0)	C	-5	14	6	12	1	0	0	0	1	0	5	0	0	0	0	0	0.0	0	0	0.0	0.84	0.25	2004-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	177.5	187
OHL	67	11	14	25	0	0	0	0	Not_In_NHL_AHL	LW	-2	92	1	0	0	0	0	0	2	0	1	1	0	0	0	0	0.0	0	0	0.0	0.37	1.37	2004-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	190.0	219
OHL	53	25	37	62	0	0	0	0	Not_In_NHL_AHL	RW	-3	14	8	13	0	0	0	0	3	0	6	0	0	0	0	0	0.0	0	0	0.0	1.17	0.26	2004-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	177.5	172
WHL	72	18	38	56	0	0	0	0	AHL [0.6, 0.8)	C	-1	24	5	13	0	0	18	0	1	0	4	1	0	0	0	0	0.0	0	0	0.0	0.78	0.33	2004-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	180.0	200
