League	GP	G	A	PTS	PGP	PG	PA	PPTS	Proj_PTS/GP	Position	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G	Year	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G	Height	Weight
WHL	63	15	33	48	12	7	4	11	Not_In_NHL_AHL	C	16	0	7	6	0	0	15	0	0	0	3	4	0	0	0	0	0.0	0	0	0.0	0.76	0.0	2001-02	2	0	1	1	0	0	7	0	1	0	0	1	0	0	0	0	0.0	0	0	0.0	0.92	0.0	182.5	175
WHL	71	18	30	48	19	4	3	7	Not_In_NHL_AHL	RW	2	0	4	13	0	0	18	0	4	1	3	2	0	0	0	0	0.0	0	0	0.0	0.68	0.0	2001-02	0	0	1	0	1	0	4	0	2	1	2	0	0	0	0	0	0.0	0	0	0.0	0.37	0.0	185.0	199
QMJHL	71	29	24	53	7	1	6	7	AHL [0.2, 0.4)	C	0	111	11	13	0	0	296	296	4	0	5	2	0	0	0	0	0.0	707	304	43.0	0.75	1.56	2001-02	0	15	0	3	0	0	27	27	0	0	1	0	0	0	0	0	0.0	92	39	42.4	1.0	2.14	185.0	180
WHL	71	43	40	83	7	1	4	5	AHL [0.2, 0.4)	RW	17	0	18	9	1	0	43	0	7	1	7	4	0	0	0	0	0.0	0	0	0.0	1.17	0.0	2001-02	-5	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.71	0.0	185.0	212
WHL	60	6	11	17	11	1	0	1	Not_In_NHL_AHL	LW	-5	0	2	0	0	0	6	0	2	0	2	1	0	0	0	0	0.0	0	0	0.0	0.28	0.0	2001-02	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.09	0.0	187.5	215
OHL	68	31	32	63	21	4	11	15	Not_In_NHL_AHL	LW	36	72	8	8	6	5	0	0	7	0	4	2	0	0	0	0	0.0	0	0	0.0	0.93	1.06	2001-02	8	24	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.71	1.14	182.5	193
WHL	69	18	23	41	4	0	0	0	Not_In_NHL_AHL	LW	11	0	4	4	2	0	18	0	2	0	3	1	0	0	0	0	0.0	0	0	0.0	0.59	0.0	2001-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	182.5	185
OHL	64	5	17	22	10	0	0	0	NHL [0.0, 0.2)	RW	-7	268	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0.0	0	0	0.0	0.34	4.19	2001-02	-1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	1.3	180.0	215
WHL	72	38	35	73	15	8	6	14	AHL [0.0, 0.2)	C	6	0	11	12	4	5	38	0	4	0	3	4	0	0	0	0	0.0	0	0	0.0	1.01	0.0	2001-02	0	0	5	4	0	0	8	0	1	0	1	1	0	0	0	0	0.0	0	0	0.0	0.93	0.0	180.0	178
OHL	66	42	62	104	5	1	3	4	AHL [0.8, 1.0)	C	5	141	12	25	7	8	0	0	3	2	8	2	0	0	0	0	0.0	0	0	0.0	1.58	2.14	2001-02	-4	15	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.8	3.0	177.5	213
QMJHL	46	4	1	5	16	1	2	3	Other	RW	0	274	1	0	0	0	23	23	1	0	0	0	0	0	0	0	0.0	6	5	83.3	0.11	5.96	2001-02	0	18	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.19	1.13	185.0	225
WHL	72	33	29	62	12	3	2	5	Other	C	10	0	8	10	5	1	33	0	7	0	3	0	0	0	0	0	0.0	0	0	0.0	0.86	0.0	2001-02	-4	0	1	0	0	0	3	0	1	1	0	1	0	0	0	0	0.0	0	0	0.0	0.42	0.0	180.0	175
QMJHL	63	17	18	35	12	2	2	4	Not_In_NHL_AHL	C	0	59	5	6	0	0	97	97	3	0	1	2	0	0	0	0	0.0	517	255	49.3	0.56	0.94	2001-02	0	6	0	0	0	0	18	18	0	0	0	0	0	0	0	0	0.0	146	66	45.2	0.33	0.5	190.0	227
WHL	70	20	36	56	11	0	8	8	Not_In_NHL_AHL	C	-4	0	4	19	0	0	20	0	3	0	7	2	0	0	0	0	0.0	0	0	0.0	0.8	0.0	2001-02	6	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.73	0.0	182.5	190
WHL	71	17	28	45	19	2	11	13	Not_In_NHL_AHL	RW	-1	0	10	15	0	0	17	0	1	0	2	2	0	0	0	0	0.0	0	0	0.0	0.63	0.0	2001-02	-4	0	1	4	0	0	2	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.68	0.0	182.5	208
OHL	64	8	13	21	11	1	2	3	AHL [0.2, 0.4)	RW	1	89	2	2	0	0	0	0	1	0	2	0	0	0	0	0	0.0	0	0	0.0	0.33	1.39	2001-02	-1	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.27	2.73	187.5	220
WHL	69	44	59	103	5	1	2	3	Not_In_NHL_AHL	C	8	0	19	25	2	1	44	0	5	0	11	4	0	0	0	0	0.0	0	0	0.0	1.49	0.0	2001-02	-3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.6	0.0	180.0	190
OHL	65	17	12	29	5	2	0	2	Other	RW	0	32	8	2	0	0	0	0	2	0	3	0	0	0	0	0	0.0	0	0	0.0	0.45	0.49	2001-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.4	0.0	182.5	185
QMJHL	72	43	64	107	22	11	13	24	Not_In_NHL_AHL	LW	0	105	16	23	1	0	201	201	7	1	7	2	0	0	0	0	0.0	11	4	36.4	1.49	1.46	2001-02	0	49	4	5	0	0	55	55	1	0	1	0	0	0	0	0	0.0	6	2	33.3	1.09	2.23	175.0	180
