Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Philippe Searles	C	Gat	11	1	3	4	3	2	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0.0	65	21	32.3	0.36	0.18
Daniel Leblanc	D	Rou	32	1	3	4	-7	30	0	0	0	0	13	13	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.13	0.94
Vincent Duriau	D	Gat	40	1	3	4	24	67	0	1	0	0	30	30	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.1	1.68
Jean-Francois Roux	LW	PEI	47	1	3	4	10	131	0	1	0	0	19	19	0	0	0	0	0	0	0	0	0.0	55	16	29.1	0.09	2.79
Patrick Tessier	RW	Chi	59	1	3	4	-9	192	1	0	0	0	30	30	0	0	0	0	0	0	0	0	0.0	3	1	33.3	0.07	3.25
Jonathan Villeneuve	LW	Sha	14	0	4	4	3	9	0	1	0	0	27	27	0	0	0	0	0	0	0	0	0.0	10	4	40.0	0.29	0.64
Jonathan Tremblay	RW	Bat	60	3	0	3	-28	316	1	0	0	0	27	27	0	0	1	0	0	0	0	0	0.0	2	1	50.0	0.05	5.27
Yannick Charrette	C	Gat	7	2	1	3	0	0	2	0	0	0	8	8	1	0	0	0	0	0	0	0	0.0	102	55	53.9	0.43	0.0
Yan Ouimet	RW	Mon	27	2	1	3	5	38	0	0	0	0	8	8	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.11	1.41
Guillaume Doucet	RW	Rou	8	1	2	3	0	2	0	0	0	0	6	6	1	0	0	0	0	0	0	0	0.0	4	3	75.0	0.38	0.25
Jonathan Favreau	LW	Mon	11	1	2	3	-4	13	0	0	0	0	8	8	1	0	0	0	0	0	0	0	0.0	44	21	47.7	0.27	1.18
Martin Slovak	RW	Dru	15	1	2	3	-6	8	0	2	0	0	23	23	0	0	0	0	0	0	0	0	0.0	47	18	38.3	0.2	0.53
Lance Woodman	C	Hal	26	1	2	3	-3	2	0	1	0	0	8	8	1	0	0	0	0	0	0	0	0.0	17	7	41.2	0.12	0.08
